"HealthTopic","Population","Indicator","Unit","Time","RegionName","NumValue"
"Measles","All cases","Reported cases","N","2023-W35","USA",0
"Measles","All cases","Reported cases","N","2023-W36","USA",3
"Measles","All cases","Reported cases","N","2023-W37","USA",1
"Measles","All cases","Reported cases","N","2023-W38","USA",5
"Measles","All cases","Reported cases","N","2023-W39","USA",5
"Measles","All cases","Reported cases","N","2023-W40","USA",1
"Measles","All cases","Reported cases","N","2023-W41","USA",1
"Measles","All cases","Reported cases","N","2023-W42","USA",0
"Measles","All cases","Reported cases","N","2023-W43","USA",2
"Measles","All cases","Reported cases","N","2023-W44","USA",1
"Measles","All cases","Reported cases","N","2023-W45","USA",0
"Measles","All cases","Reported cases","N","2023-W46","USA",0
"Measles","All cases","Reported cases","N","2023-W47","USA",0
"Measles","All cases","Reported cases","N","2023-W48","USA",2
"Measles","All cases","Reported cases","N","2023-W49","USA",2
"Measles","All cases","Reported cases","N","2023-W50","USA",3
"Measles","All cases","Reported cases","N","2023-W51","USA",11
"Measles","All cases","Reported cases","N","2023-W52","USA",4
"Measles","All cases","Reported cases","N","2024-W01","USA",4
"Measles","All cases","Reported cases","N","2024-W02","USA",2
"Measles","All cases","Reported cases","N","2024-W03","USA",2
"Measles","All cases","Reported cases","N","2024-W04","USA",5
"Measles","All cases","Reported cases","N","2024-W05","USA",3
"Measles","All cases","Reported cases","N","2024-W06","USA",14
"Measles","All cases","Reported cases","N","2024-W07","USA",9
"Measles","All cases","Reported cases","N","2024-W08","USA",6
"Measles","All cases","Reported cases","N","2024-W09","USA",3
"Measles","All cases","Reported cases","N","2024-W10","USA",12
"Measles","All cases","Reported cases","N","2024-W11","USA",38
"Measles","All cases","Reported cases","N","2024-W12","USA",9
"Measles","All cases","Reported cases","N","2024-W13","USA",10
"Measles","All cases","Reported cases","N","2024-W14","USA",4
"Measles","All cases","Reported cases","N","2024-W15","USA",3
"Measles","All cases","Reported cases","N","2024-W16","USA",4
"Measles","All cases","Reported cases","N","2024-W17","USA",0
"Measles","All cases","Reported cases","N","2024-W18","USA",4
"Measles","All cases","Reported cases","N","2024-W19","USA",5
"Measles","All cases","Reported cases","N","2024-W20","USA",5
"Measles","All cases","Reported cases","N","2024-W21","USA",6
"Measles","All cases","Reported cases","N","2024-W22","USA",0
"Measles","All cases","Reported cases","N","2024-W23","USA",4
"Measles","All cases","Reported cases","N","2024-W24","USA",4
"Measles","All cases","Reported cases","N","2024-W25","USA",3
"Measles","All cases","Reported cases","N","2024-W26","USA",7
"Measles","All cases","Reported cases","N","2024-W27","USA",13
"Measles","All cases","Reported cases","N","2024-W28","USA",11
"Measles","All cases","Reported cases","N","2024-W29","USA",7
"Measles","All cases","Reported cases","N","2024-W30","USA",12
"Measles","All cases","Reported cases","N","2024-W31","USA",7
"Measles","All cases","Reported cases","N","2024-W32","USA",9
"Measles","All cases","Reported cases","N","2024-W33","USA",8
"Measles","All cases","Reported cases","N","2024-W34","USA",11
"Measles","All cases","Reported cases","N","2024-W35","USA",10
"Measles","All cases","Reported cases","N","2024-W36","USA",3
"Measles","All cases","Reported cases","N","2024-W37","USA",3
"Measles","All cases","Reported cases","N","2024-W38","USA",1
"Measles","All cases","Reported cases","N","2024-W39","USA",2
"Measles","All cases","Reported cases","N","2024-W40","USA",1
"Measles","All cases","Reported cases","N","2024-W41","USA",3
"Measles","All cases","Reported cases","N","2024-W42","USA",1
"Measles","All cases","Reported cases","N","2024-W43","USA",3
"Measles","All cases","Reported cases","N","2024-W44","USA",4
"Measles","All cases","Reported cases","N","2024-W45","USA",3
"Measles","All cases","Reported cases","N","2024-W46","USA",0
"Measles","All cases","Reported cases","N","2024-W47","USA",2
"Measles","All cases","Reported cases","N","2024-W48","USA",0
"Measles","All cases","Reported cases","N","2024-W49","USA",0
"Measles","All cases","Reported cases","N","2024-W50","USA",0
"Measles","All cases","Reported cases","N","2024-W51","USA",1
"Measles","All cases","Reported cases","N","2024-W52","USA",1
"Measles","All cases","Reported cases","N","2025-W01","USA",2
"Measles","All cases","Reported cases","N","2025-W02","USA",1
"Measles","All cases","Reported cases","N","2025-W03","USA",6
"Measles","All cases","Reported cases","N","2025-W04","USA",13
"Measles","All cases","Reported cases","N","2025-W05","USA",21
"Measles","All cases","Reported cases","N","2025-W06","USA",52
"Measles","All cases","Reported cases","N","2025-W07","USA",57
"Measles","All cases","Reported cases","N","2025-W08","USA",11
